,publishedAt,authorDisplayName,textDisplay,likeCount,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_normalized
0,2024-08-09T13:08:57Z,@Vivihartini26,makasihhh ka ness,24,"['makasihhh', 'ka', 'ness']",<FreqDist with 3 samples and 3 outcomes>,"['makasihhh', 'ka', 'ness']","['terimakasih', 'kakak', 'nessie']"
1,2024-08-09T13:10:38Z,@annisanurhidayah_,hihi happy bngt ada sandy thanks kak nessie,24,"['hihi', 'happy', 'bngt', 'ada', 'sandy', 'thanks', 'kak', 'nessie']",<FreqDist with 8 samples and 8 outcomes>,"['hihi', 'happy', 'bngt', 'sandy', 'thanks', 'kak', 'nessie']","['hihi', 'bahagia', 'banget', 'sandy', 'terimakasih', 'kakak', 'nessie']"
2,2024-08-09T13:16:52Z,@HESTIYANI2909,asiyaaap kk terimakasih telah memberikan saran yg baik,14,"['asiyaaap', 'kk', 'terimakasih', 'telah', 'memberikan', 'saran', 'yg', 'baik']",<FreqDist with 8 samples and 8 outcomes>,"['asiyaaap', 'kk', 'terimakasih', 'saran']","['siap', 'kakak', 'terimakasih', 'saran']"
3,2024-08-09T13:25:52Z,@putrisaputri3763,makasih ka nessie udh ngajak sandy nerror,12,"['makasih', 'ka', 'nessie', 'udh', 'ngajak', 'sandy', 'nerror']",<FreqDist with 7 samples and 7 outcomes>,"['makasih', 'ka', 'nessie', 'udh', 'ngajak', 'sandy', 'nerror']","['terimakasih', 'kakak', 'nessie', 'sudah', 'mengundang', 'sandy', 'nerror']"
4,2024-09-07T05:12:21Z,@deatalk6444,surprise banget ternyata sandy pengetahuan mistisnya lumayan loh cocok banget diajak colab lagi untuk bahas horror ampe dia tau kuntilanak cowok segala karena  semua orang tau contonya nessie aja yg sering membahas horror  pernah deger dan tau dan bener ciri khas kuntilanak cowo itu kayang klu lagi jalan atau turun dari pohon sukses yaaa both of ,0,"['surprise', 'banget', 'ternyata', 'sandy', 'pengetahuan', 'mistisnya', 'lumayan', 'loh', 'cocok', 'banget', 'diajak', 'colab', 'lagi', 'untuk', 'bahas', 'horror', 'ampe', 'dia', 'tau', 'kuntilanak', 'cowok', 'segala', 'karena', 'semua', 'orang', 'tau', 'contonya', 'nessie', 'aja', 'yg', 'sering', 'membahas', 'horror', 'pernah', 'deger', 'dan', 'tau', 'dan', 'bener', 'ciri', 'khas', 'kuntilanak', 'cowo', 'itu', 'kayang', 'klu', 'lagi', 'jalan', 'atau', 'turun', 'dari', 'pohon', 'sukses', 'yaaa', 'both', 'of']",<FreqDist with 49 samples and 56 outcomes>,"['surprise', 'sandy', 'pengetahuan', 'mistisnya', 'lumayan', 'loh', 'cocok', 'diajak', 'colab', 'bahas', 'horror', 'ampe', 'tau', 'kuntilanak', 'cowok', 'orang', 'tau', 'contonya', 'nessie', 'aja', 'membahas', 'horror', 'deger', 'tau', 'bener', 'ciri', 'khas', 'kuntilanak', 'cowo', 'kayang', 'klu', 'jalan', 'turun', 'pohon', 'sukses', 'yaaa', 'both', 'of']","['kejutan', 'sandy', 'pengetahuan', 'mistisnya', 'lumayan', 'loh', 'cocok', 'diajak', 'colab', 'bahas', 'horror', 'sampai', 'tahu', 'kuntilanak', 'cowok', 'orang', 'tahu', 'contonya', 'nessie', 'aja', 'membahas', 'horror', 'dengar', 'tahu', 'bener', 'ciri', 'khas', 'kuntilanak', 'cowok', 'kayang', 'kalau', 'jalan', 'turun', 'pohon', 'sukses', 'ya ', 'both', 'of']"
5,2024-09-07T04:24:46Z,@natalysdw234,seruuu bgtt sihhh makasih kak ness udh undang sandyy,0,"['seruuu', 'bgtt', 'sihhh', 'makasih', 'kak', 'ness', 'udh', 'undang', 'sandyy']",<FreqDist with 9 samples and 9 outcomes>,"['seruuu', 'bgtt', 'sihhh', 'makasih', 'kak', 'ness', 'udh', 'undang', 'sandyy']","['seru', 'banget', 'sih', 'terimakasih', 'kakak', 'nessie', 'sudah', 'undang', 'sandy']"
6,2024-09-06T23:29:28Z,@haryaniwulandari1472,kuntilanak cowok itu biasanya nempel di pohon besardan kepala nya ada di bawah,0,"['kuntilanak', 'cowok', 'itu', 'biasanya', 'nempel', 'di', 'pohon', 'besardan', 'kepala', 'nya', 'ada', 'di', 'bawah']",<FreqDist with 12 samples and 13 outcomes>,"['kuntilanak', 'cowok', 'nempel', 'pohon', 'besardan', 'kepala']","['kuntilanak', 'cowok', 'nempel', 'pohon', 'besar dan', 'kepala']"
7,2024-09-06T09:38:26Z,@user-xw2dy9jd4f,sandi aku pengen ketemu kamu tapi nggak boleh,0,"['sandi', 'aku', 'pengen', 'ketemu', 'kamu', 'tapi', 'nggak', 'boleh']",<FreqDist with 8 samples and 8 outcomes>,"['sandi', 'pengen', 'ketemu', 'nggak']","['sandy', 'ingin', 'ketemu', 'tidak']"
8,2024-09-05T03:17:34Z,@NurJannah-su6jy,pernah kesurupan massal di sekolah ku dan pas di ruqyah mereka itu raja jin dan para tentaranya percaya gk percaya dan memang ini nyata,0,"['pernah', 'kesurupan', 'massal', 'di', 'sekolah', 'ku', 'dan', 'pas', 'di', 'ruqyah', 'mereka', 'itu', 'raja', 'jin', 'dan', 'para', 'tentaranya', 'percaya', 'gk', 'percaya', 'dan', 'memang', 'ini', 'nyata']",<FreqDist with 20 samples and 24 outcomes>,"['kesurupan', 'massal', 'sekolah', 'ku', 'ruqyah', 'raja', 'jin', 'tentaranya', 'percaya', 'gk', 'percaya', 'nyata']","['kesurupan', 'masal', 'sekolah', 'aku', 'ruqyah', 'raja', 'jin', 'tentaranya', 'percaya', 'tidak', 'percaya', 'nyata']"
9,2024-09-05T01:21:12Z,@khairina.m,pengalaman gw pas sd liat pocong mata merah kayak di film pocong mumun pas smp liat perempuan berjilbab mukanya rata,0,"['pengalaman', 'gw', 'pas', 'sd', 'liat', 'pocong', 'mata', 'merah', 'kayak', 'di', 'film', 'pocong', 'mumun', 'pas', 'smp', 'liat', 'perempuan', 'berjilbab', 'mukanya', 'rata']",<FreqDist with 17 samples and 20 outcomes>,"['pengalaman', 'gw', 'sd', 'liat', 'pocong', 'mata', 'merah', 'kayak', 'film', 'pocong', 'mumun', 'smp', 'liat', 'perempuan', 'berjilbab', 'mukanya']","['pengalaman', 'aku', 'sd', 'lihat', 'pocong', 'mata', 'merah', 'kayak', 'film', 'pocong', 'mumun', 'smp', 'lihat', 'perempuan', 'berjilbab', 'mukanya']"
10,2024-09-02T07:23:49Z,@monalisalilong1804,lucu bgt ga bisa natap mata ka ness lamaquot,1,"['lucu', 'bgt', 'ga', 'bisa', 'natap', 'mata', 'ka', 'ness', 'lamaquot']",<FreqDist with 9 samples and 9 outcomes>,"['lucu', 'bgt', 'natap', 'mata', 'ka', 'ness', 'lamaquot']","['lucu', 'banget', 'lihat', 'mata', 'kakak', 'nessie', 'lama']"
11,2024-09-01T19:03:58Z,@muhamadarsyasaputra5359,kalo ngebahas kesurupan kayanya aku tau gmna rasanya,0,"['kalo', 'ngebahas', 'kesurupan', 'kayanya', 'aku', 'tau', 'gmna', 'rasanya']",<FreqDist with 8 samples and 8 outcomes>,"['kalo', 'ngebahas', 'kesurupan', 'kayanya', 'tau', 'gmna']","['jika', 'bahas', 'kesurupan', 'sepertinya', 'tahu', 'bagaimana']"
12,2024-09-01T07:34:05Z,@adityaekapratama8276,setelah ngelihat langsungvorang kesurupan jaman smk jd percaya sekarang karena tenaga org kesurupan bener diluar nalarrrrr kuat bgt oiii,0,"['setelah', 'ngelihat', 'langsungvorang', 'kesurupan', 'jaman', 'smk', 'jd', 'percaya', 'sekarang', 'karena', 'tenaga', 'org', 'kesurupan', 'bener', 'diluar', 'nalarrrrr', 'kuat', 'bgt', 'oiii']",<FreqDist with 18 samples and 19 outcomes>,"['ngelihat', 'langsungvorang', 'kesurupan', 'jaman', 'smk', 'jd', 'percaya', 'tenaga', 'org', 'kesurupan', 'bener', 'diluar', 'nalarrrrr', 'kuat', 'bgt', 'oiii']","['melihat', 'langsung orang', 'kesurupan', 'zaman', 'smk', 'jadi', 'percaya', 'tenaga', 'orang', 'kesurupan', 'bener', 'diluar', 'naluri', 'kuat', 'banget', nan]"
13,2024-09-01T07:27:46Z,@caseyya_ceyy,ka collab bareng frisly herlind dong bahasquot hantu terutama rasa penasaran kaka sama kesurupan masal itu mesti dia bisa jawab dan jelasin,1,"['ka', 'collab', 'bareng', 'frisly', 'herlind', 'dong', 'bahasquot', 'hantu', 'terutama', 'rasa', 'penasaran', 'kaka', 'sama', 'kesurupan', 'masal', 'itu', 'mesti', 'dia', 'bisa', 'jawab', 'dan', 'jelasin']",<FreqDist with 22 samples and 22 outcomes>,"['ka', 'collab', 'bareng', 'frisly', 'herlind', 'bahasquot', 'hantu', 'penasaran', 'kaka', 'kesurupan', 'masal', 'mesti', 'jelasin']","['kakak', 'collab', 'bareng', 'frisly', 'herlind', 'bahas', 'hantu', 'penasaran', 'kakak', 'kesurupan', 'masal', 'pasti', 'jelasin']"
14,2024-09-01T07:02:59Z,@hasibuanaja5390,kalo horor gni aku demen liat channelny,0,"['kalo', 'horor', 'gni', 'aku', 'demen', 'liat', 'channelny']",<FreqDist with 7 samples and 7 outcomes>,"['kalo', 'horor', 'gni', 'demen', 'liat', 'channelny']","['jika', 'horor', 'begini', 'suka', 'lihat', 'chanelnya']"
15,2024-09-01T05:26:49Z,@KhaldaAzzahra-wu8iz,sandy kok gk sama maxwell atau axel,0,"['sandy', 'kok', 'gk', 'sama', 'maxwell', 'atau', 'axel']",<FreqDist with 7 samples and 7 outcomes>,"['sandy', 'gk', 'maxwell', 'axel']","['sandy', 'tidak', 'maxwell', 'axel']"
16,2024-08-31T16:30:59Z,@poetrii123poetrikarina3,lebih ke ngakakkk sih,0,"['lebih', 'ke', 'ngakakkk', 'sih']",<FreqDist with 4 samples and 4 outcomes>,"['ngakakkk', 'sih']","['lucu', 'sih']"
17,2024-08-31T13:46:10Z,@Galau_brg,takutt,0,['takutt'],<FreqDist with 1 samples and 1 outcomes>,['takutt'],['takut']
