publishedAt,authorDisplayName,textDisplay,likeCount
2024-08-09T13:08:57Z,@Vivihartini26,makasihhh ka ness ❤❤❤❤❤,24
2024-08-09T13:10:38Z,@annisanurhidayah_,"hihi happy bngt ada Sandy, thanks kak Nessie 😍",24
2024-08-09T13:16:52Z,@HESTIYANI2909,Asiyaaap kk. Terimakasih telah memberikan saran yg baik🎉❤,14
2024-08-09T13:25:52Z,@putrisaputri3763,Makasih ka Nessie udh ngajak Sandy Nerror❤,12
2024-09-07T05:12:21Z,@deatalk6444,"surprise banget ternyata sandy pengetahuan mistisnya lumayan loh. cocok banget diajak colab lagi untuk bahas horror. ampe dia tau kuntilanak cowok segala. karena g semua orang tau, contonya nessie aja yg sering membahas horror g pernah deger dan tau. dan bener ciri khas kuntilanak cowo itu kayang klu lagi jalan atau turun dari pohon. sukses yaaa both of u :)",0
2024-09-07T04:24:46Z,@natalysdw234,SERUUU BGTT SIHHH😭 MAKASIH KAK NESS UDH UNDANG SANDYY,0
2024-09-06T23:29:28Z,@haryaniwulandari1472,"Kuntilanak cowok itu biasanya nempel di pohon2 besar,dan kepala nya ada di bawah",0
2024-09-06T09:38:26Z,@user-xw2dy9jd4f,Sandi aku pengen ketemu kamu tapi nggak boleh,0
2024-09-05T03:17:34Z,@NurJannah-su6jy,Pernah kesurupan massal di sekolah ku dan pas di ruqyah mereka itu raja jin dan para tentaranya. Percaya gk percaya dan memang ini nyata,0
2024-09-05T01:21:12Z,@khairina.m,"Pengalaman gw pas SD liat pocong mata merah (kayak di film pocong mumun), pas SMP liat perempuan berjilbab mukanya rata",0
2024-09-02T07:23:49Z,@monalisalilong1804,Lucu bgt ga bisa natap mata ka ness lama&quot;,1
2024-09-01T19:03:58Z,@muhamadarsyasaputra5359,kalo ngebahas kesurupan kayanya aku tau gmna rasanya,0
2024-09-01T07:34:05Z,@adityaekapratama8276,"Setelah ngelihat langsungvorang kesurupan jaman SMK, jd percaya sekarang, karena tenaga org kesurupan bener2 diluar nalarrrrr, kuat bgt oiii",0
2024-09-01T07:27:46Z,@caseyya_ceyy,ka collab bareng frisly herlind dong bahas&quot; hantu terutama rasa penasaran kaka sama kesurupan masal itu mesti dia bisa jawab dan jelasin,1
2024-09-01T07:02:59Z,@hasibuanaja5390,Kalo horor gni aku demen liat channelny😊,0
2024-09-01T05:26:49Z,@KhaldaAzzahra-wu8iz,Sandy kok gk sama maxwell atau axel,0
2024-08-31T16:30:59Z,@poetrii123poetrikarina3,Lebih ke ngakakkk sih😂,0
2024-08-31T13:46:10Z,@Galau_brg,Takutt,0
2024-08-31T09:38:36Z,@AdiSetiawanSetiawan-v5u,Kuntilanak cowok mungkin maksudnya kuntilanak LGBT,0
2024-08-31T02:58:11Z,@user-ne9ok8xn9s,pocong cewek 😭,0
2024-08-31T00:44:11Z,@monicapetra8574,Habis ini colab ama Axel ka.. lucu jg dia anaknya❤,0
2024-08-30T12:04:57Z,@Wiradhisastra,"Di buka coba mata bathin nya..biar mba nessie liat, sperti apa dan bagaimana &quot;mereka&quot; berwujud &amp; berinteraksi.",0
2024-08-30T09:26:52Z,@vitavita3010,"ada kutilanak cowo sumpah, d rmh tmn ku itu kn pinggir sma blakang rmhny itu pepohonan smuakn dn itu ppohonanny pda gede&quot; skitar jm 4 pgi mma tmn ku itu lgi nyapu pinggir rmhny yng bnyak ppohonan itu dia nyapu jm sgitu jga krna ya dia puny bayi nh tnpa di sengaja d situ mmahny liat kuntilanak cowo yng emng klo yng bisa liat d dkt rmhny itu sarangny",0
2024-08-30T04:49:05Z,@ninasulist1194,"Btw kuyang bukan hantu hehe...<br>Kuyang itu seseorang yg punya ilmu hitam  buat awet muda atau maksud laennya... kalo siang kaya kita hidup manusia pada umumnya, kalo malam baru cari mangsa bisa janin dalam kandungan...makanya ibu² dikalimantan paling ga bisa ditanyai org asing soal usia kandungan",0
2024-08-30T04:29:35Z,@user-rz1st3lj5d,2 kata lucu “kuntilanak cowok” hahahah ngakak sih sumpah sandy lu benar benar mencairkan suasana ya yg tadinya horor jadi komedy pliss gw langsung searching buat cari tu kunti cowok🤣🤣🤣,0
